Date,Open,High,Low,Close,Adj Close,Volume
2023-05-08,18120.599609,18286.949219,18100.300781,18264.400391,18264.400391,228400
2023-05-09,18303.400391,18344.199219,18229.650391,18265.949219,18265.949219,245400
2023-05-10,18313.599609,18326.750000,18211.949219,18315.099609,18315.099609,220500
2023-05-11,18357.800781,18389.699219,18270.400391,18297.000000,18297.000000,248900
2023-05-12,18273.750000,18342.750000,18194.550781,18314.800781,18314.800781,241700
2023-05-15,18339.300781,18458.900391,18287.900391,18398.849609,18398.849609,216100
2023-05-16,18432.349609,18432.349609,18264.349609,18286.500000,18286.500000,219500
2023-05-17,18300.449219,18309.000000,18115.349609,18181.750000,18181.750000,229900
2023-05-18,18287.500000,18297.199219,18104.849609,18129.949219,18129.949219,272100
2023-05-19,18186.150391,18218.099609,18060.400391,18203.400391,18203.400391,260900
2023-05-22,18201.099609,18335.250000,18178.849609,18314.400391,18314.400391,262600
2023-05-23,18362.900391,18419.750000,18324.199219,18348.000000,18348.000000,270400
2023-05-24,18294.800781,18392.599609,18262.949219,18285.400391,18285.400391,232600
2023-05-25,18268.900391,18338.099609,18202.400391,18321.150391,18321.150391,235900
2023-05-26,18368.349609,18508.550781,18333.150391,18499.349609,18499.349609,198700
2023-05-29,18619.150391,18641.199219,18581.250000,18598.650391,18598.650391,265300
2023-05-30,18606.650391,18662.449219,18575.500000,18633.849609,18633.849609,234400
2023-05-31,18594.199219,18603.900391,18483.849609,18534.400391,18534.400391,696500
2023-06-01,18579.400391,18580.300781,18464.550781,18487.750000,18487.750000,265600
2023-06-02,18550.849609,18573.699219,18478.400391,18534.099609,18534.099609,270900
2023-06-05,18612.000000,18640.150391,18582.800781,18593.849609,18593.849609,256100
2023-06-06,18600.800781,18622.750000,18531.599609,18599.000000,18599.000000,220800
2023-06-07,18665.599609,18738.949219,18636.000000,18726.400391,18726.400391,260100
2023-06-08,18725.349609,18777.900391,18615.599609,18634.550781,18634.550781,286500
2023-06-09,18655.900391,18676.650391,18555.400391,18563.400391,18563.400391,221800
2023-06-12,18595.050781,18633.599609,18559.750000,18601.500000,18601.500000,179500
2023-06-13,18631.800781,18728.900391,18631.800781,18716.150391,18716.150391,233200
2023-06-14,18744.599609,18769.699219,18690.000000,18755.900391,18755.900391,261400
2023-06-15,18774.449219,18794.099609,18669.050781,18688.099609,18688.099609,263000
2023-06-16,18723.300781,18864.699219,18710.500000,18826.000000,18826.000000,272800
2023-06-19,18873.300781,18881.449219,18719.150391,18755.449219,18755.449219,219800
2023-06-20,18752.349609,18839.699219,18660.650391,18816.699219,18816.699219,211600
2023-06-21,18849.400391,18875.900391,18794.849609,18856.849609,18856.849609,217500
2023-06-22,18853.599609,18886.599609,18759.500000,18771.250000,18771.250000,252700
2023-06-23,18741.849609,18756.400391,18647.099609,18665.500000,18665.500000,210600
2023-06-26,18682.349609,18722.050781,18646.699219,18691.199219,18691.199219,171300
2023-06-27,18748.550781,18829.250000,18714.250000,18817.400391,18817.400391,222500
2023-06-28,18908.150391,19011.250000,18861.349609,18972.099609,18972.099609,398800
2023-06-30,19076.849609,19201.699219,19024.599609,19189.050781,19189.050781,247900
2023-07-03,19246.500000,19345.099609,19234.400391,19322.550781,19322.550781,226100
2023-07-04,19406.599609,19434.150391,19300.000000,19389.000000,19389.000000,226900
2023-07-05,19405.949219,19421.599609,19339.599609,19398.500000,19398.500000,224400
2023-07-06,19385.699219,19512.199219,19373.000000,19497.300781,19497.300781,268300
2023-07-07,19422.800781,19523.599609,19303.599609,19331.800781,19331.800781,237100
2023-07-10,19400.349609,19435.849609,19327.099609,19355.900391,19355.900391,268200
2023-07-11,19427.099609,19515.099609,19406.449219,19439.400391,19439.400391,251300
2023-07-12,19497.449219,19507.699219,19361.750000,19384.300781,19384.300781,327900
2023-07-13,19495.199219,19567.000000,19385.800781,19413.750000,19413.750000,310400
2023-07-14,19493.449219,19595.349609,19433.500000,19564.500000,19564.500000,291200
2023-07-17,19612.150391,19731.849609,19562.949219,19711.449219,19711.449219,268700
2023-07-18,19787.500000,19819.449219,19690.199219,19749.250000,19749.250000,286400
2023-07-19,19802.949219,19851.699219,19727.449219,19833.150391,19833.150391,259700
2023-07-20,19831.699219,19991.849609,19758.400391,19979.150391,19979.150391,274700
2023-07-21,19800.449219,19887.400391,19700.000000,19745.000000,19745.000000,312500
2023-07-24,19748.449219,19782.750000,19658.300781,19672.349609,19672.349609,265600
2023-07-25,19729.349609,19729.349609,19615.949219,19680.599609,19680.599609,369700
2023-07-26,19733.349609,19825.599609,19716.699219,19778.300781,19778.300781,244700
2023-07-27,19850.900391,19867.550781,19603.550781,19659.900391,19659.900391,334900
2023-07-28,19659.750000,19695.900391,19563.099609,19646.050781,19646.050781,258700
2023-07-31,19666.349609,19772.750000,19597.599609,19753.800781,19753.800781,295100
2023-08-01,19784.000000,19795.599609,19704.599609,19733.550781,19733.550781,298000
2023-08-02,19655.400391,19678.250000,19423.550781,19526.550781,19526.550781,290700
2023-08-03,19463.750000,19537.650391,19296.449219,19381.650391,19381.650391,315700
2023-08-04,19462.800781,19538.849609,19436.449219,19517.000000,19517.000000,280800
